CAR_SELL_NO,CAR_ID,CAR_SELL_EA,CAR_SELL_PRICE,CAR_SELL_DATE
609.0,T338673690,4,11532,2022-04-13
610.0,B547320719,15,276735,2022-06-20
611.0,T653263418,24,1118736,2022-05-14
612.0,Z793212332,25,838675,2022-05-06
613.0,P829129866,7,689437,2022-05-28
614.0,O126363356,2,27046,2022-05-22
615.0,X592842496,18,674406,2022-12-30
616.0,G328694289,16,816976,2022-08-30
617.0,F054769969,7,397040,2022-03-15
618.0,Q694083292,4,351620,2022-08-13
619.0,Q143926023,22,406494,2022-08-11
620.0,X581279438,3,222315,2022-09-22
621.0,Q640027190,25,1106675,2022-11-19
622.0,G791421681,14,1213744,2022-03-02
623.0,O106473515,20,365680,2022-06-12
624.0,Y087442545,8,718800,2022-08-26
625.0,P264867520,28,867440,2022-03-29
626.0,Z545966983,23,1465491,2022-03-11
627.0,H529868855,15,1430805,2022-06-03
628.0,E018566127,21,1115625,2022-06-23
629.0,S426674954,4,114164,2022-11-21
630.0,K157947778,21,2077383,2022-05-03
631.0,L826260140,9,259461,2022-04-25
632.0,H157917992,5,403835,2022-01-10
633.0,N909404119,3,140862,2022-04-17
634.0,M107246804,7,135366,2022-03-13
635.0,G820110350,21,1744596,2022-09-16
636.0,O903560195,2,111434,2022-08-10
637.0,T616019194,17,337042,2022-01-19
638.0,O109792584,6,520920,2022-08-29
639.0,V145978884,17,254881,2022-10-09
640.0,F377737243,4,234008,2022-09-21
641.0,T017774655,13,998296,2022-08-18
642.0,F054769969,25,1418000,2022-03-01
643.0,U407582858,13,1223313,2022-05-10
644.0,R838650702,13,128427,2022-07-24
645.0,I000309561,18,1259838,2022-09-10
646.0,M336560053,22,1734810,2022-05-03
647.0,W801761065,12,1055028,2022-03-27
648.0,H433910994,1,80166,2022-05-16
